,Artist,Total Views,100M,Avg
0,BTS,2794790000000.0,63.0,7.37
1,Bad Bunny,2757340000000.0,66.0,14.56
2,Justin Bieber,2739970000000.0,37.0,3.99
3,Ed Sheeran,2689400000000.0,39.0,4.61
4,Taylor Swift,2435000000000.0,38.0,5.72
5,Shakira,2396180000000.0,43.0,7.84
6,Katy Perry,2355340000000.0,25.0,3.18
7,Ozuna,2252480000000.0,49.0,4.93
8,Eminem,2093770000000.0,38.0,5.84
9,Ariana Grande,2061850000000.0,37.0,3.37
10,Daddy Yankee,2048520000000.0,41.0,4.54
11,J Balvin,2043690000000.0002,34.0,3.19
12,Blackpink,2008200000000.0,32.0,8.63
13,Maroon 5,1943009999999.9998,30.0,3.26
14,Rihanna,1868380000000.0,33.0,3.91
15,Maluma,1847980000000.0,30.0,3.11
16,The Weeknd,1766890000000.0002,30.0,8.52
17,Bruno Mars,1689750000000.0,20.0,4.19
18,Marília Mendonça,1651580000000.0,53.0,6.4
19,Enrique Iglesias,1639520000000.0,29.0,2.66
20,David Guetta,1548460000000.0,29.0,3.74
21,Nicky Jam,1498250000000.0,29.0,1.67
22,Coldplay,1484900000000.0,21.0,4.05
23,Beyoncé,1468140000000.0,37.0,2.95
24,Calvin Harris,1427050000000.0,22.0,2.09
25,Luis Fonsi,1424240000000.0,12.0,1.57
26,Romeo Santos,1411320000000.0,26.0,4.77
27,Marshmello,1402070000000.0,29.0,2.72
28,Karol G,1398180000000.0,26.0,6.59
29,Imagine Dragons,1344420000000.0,18.0,4.88
30,Henrique e Juliano,1321010000000.0,37.0,4.97
31,Chris Brown,1316500000000.0,37.0,3.84
32,Lady Gaga,1315600000000.0,28.0,4.27
33,Gusttavo Lima,1289910000000.0,35.0,4.19
34,The Chainsmokers,1256150000000.0,19.0,1.6
35,Guru Randhawa,1241340000000.0,33.0,21.63
36,Alan Walker,1232980000000.0,18.0,2.47
37,Adele,1232960000000.0,17.0,2.6
38,Wiz Khalifa,1217530000000.0,13.0,1.9
39,Anuel AA,1211180000000.0,23.0,7.48
40,Pitbull,1198990000000.0,21.0,2.08
41,One Direction,1190440000000.0,18.0,1.78
42,Banda MS,1184770000000.0,26.0,2.66
43,TWICE,1166700000000.0,24.0,3.68
44,Michael Jackson,1166220000000.0,23.0,3.42
45,Sia,1154570000000.0,17.0,2.52
46,Post Malone,1134570000000.0,18.0,3.21
47,Neha Kakkar,1128350000000.0,20.0,2.44
48,Gummibär,1122570000000.0,13.0,2.72
49,Selena Gomez,1106280000000.0,29.0,3.54
50,Linkin Park,1104450000000.0,25.0,2.68
51,Shawn Mendes,1092360000000.0,16.0,2.01
52,Arijit Singh,1085029999999.9999,23.0,3.16
53,YoungBoy Never Broke Again,1059370000000.0001,26.0,4.87
54,Drake,1036120000000.0001,18.0,3.22
55,Billie Eilish,1029020000000.0001,22.0,3.04
56,twenty one pilots,1014770000000.0001,14.0,2.03
57,Zé Neto e Cristiano,1013350000000.0,26.0,1.72
58,Los Ángeles Azules,1007070000000.0001,26.0,4.09
59,PSY,997060000000.0,10.0,2.22
60,Yo Yo Honey Singh,952240000000.0,32.0,3.36
61,Jennifer Lopez,928229999999.9999,24.0,1.63
62,Becky G,928079999999.9999,11.0,1.74
63,Dua Lipa,925810000000.0,16.0,2.84
64,The Black Eyed Peas,922340000000.0,19.0,2.5
65,Avicii,913560000000.0,17.0,1.55
66,Queen,908100000000.0,16.0,1.88
67,Sebastián Yatra,901229999999.9999,19.0,2.76
68,Nicki Minaj,900090000000.0,26.0,2.02
69,Rauw Alejandro,892720000000.0001,20.0,5.19
70,Major Lazer,882670000000.0001,12.0,1.19
71,XXXTENTACION,882329999999.9999,18.0,1.62
72,DJ Snake,853060000000.0,13.0,1.89
